trade_id,timestamp,market,token_id,side,price,size,fee,strategy,pnl
0xbf8916381bbcb5d464d321e868203fd102fe6b35262d4faacdaaed5f5553d613,2026-04-03T21:52:52.579554+00:00,Will Finland win Eurovision 2026?,109716724019363983618880291507628426436817303220087305938342349144073848356715,BUY,0.611000,5.000000,0.000000,copytrade,0.000000
ct-exit-d7ef917d,2026-04-03T21:53:39.448064+00:00,Will the highest temperature in New York City be between 66-67°F on April 3?,1496234279556771191806686183717114173842501964407071305674155662596114795314,SELL,0.195000,18.490000,0.000000,copytrade,2.123570
0xca305bb959d36c663adfc84937a19d6b86260b05cba148d056bdd234453b2272,2026-04-03T21:58:49.327964+00:00,US Men's Clay Court Championships: Tomas Etcheverry vs Tommy Paul,94044847811046187051690068120823052255960519658796527403286969991692205822069,BUY,0.300000,11.430000,0.000000,copytrade,0.000000
0xb68ced6ac83e7b54280a8dc373790ea54ab8dd80fde9406845914d0cd8afccf5,2026-04-03T22:01:00.397756+00:00,Will Finland win Eurovision 2026?,109716724019363983618880291507628426436817303220087305938342349144073848356715,BUY,0.611000,5.000000,0.000000,copytrade,0.000000
0x29dd3150deca508241060f7bc374effbadc227cbeaad92341de24a7b215a3892,2026-04-03T22:02:40.242623+00:00,Will the highest temperature in New York City be between 66-67°F on April 3?,1496234279556771191806686183717114173842501964407071305674155662596114795314,BUY,0.155000,15.370000,0.000000,copytrade,0.000000
ct-exit-9d519c75,2026-04-03T22:22:33.107857+00:00,Cincinnati Reds vs. Texas Rangers,93866229507863235781673887373465232910819818631612342527298246820979294492482,SELL,0.930000,3.730000,0.000000,copytrade,1.622551
0x94c540842be0ea0876fde0007563860e8114841796225057fee1c1ac94598a39,2026-04-03T22:25:58.397083+00:00,Will global temperature increase by more than 1.29ºC in March 2026?,68607338819672404862586907829036991109763217652433670238418989216756904968368,BUY,0.242000,15.140000,0.000000,copytrade,0.000000
0x473d07625ede35bd237339c6e26a734f0cece8edbb48cf2329c59d7b12b63b30,2026-04-03T22:33:50.124293+00:00,Will Estudiantes de La Plata win on 2026-04-03?,34714529416604046182902319643623884554606477596065358985088637336784900286894,BUY,0.600000,5.000000,0.000000,copytrade,0.000000
0x11147805aa918efbafb72e7b8ff1b27c6f7c26fff9a8cac08e43a59c692f5ced,2026-04-03T22:35:41.613346+00:00,Will the highest temperature in Istanbul be 16°C or higher on April 4?,5878222327354426268592333816176422341402476282858639531759501090920474674705,BUY,0.140000,15.990000,0.000000,copytrade,0.000000
0x640e542636d90d3470c5c6ea0740495104b1f8efe362f5eccde5aaa172abaf4c,2026-04-03T22:36:32.469093+00:00,Will the highest temperature in Istanbul be 14°C on April 4?,53983370147524699753373795159256018521692006032914230669551037750771806508987,BUY,0.150000,14.920000,0.000000,copytrade,0.000000
